Car ID,Brand,Year,Engine Size,Fuel Type,Transmission,Mileage,Condition,Price,Model,Car Age,Price Range,Mileage Range
1,Tesla,2016,0.0,Electric,Automatic,114832.0,Used,26613.92,Model X,10,Mid,High
2,BMW,2018,0.0,Electric,Automatic,143190.0,Used,14679.61,5 Series,8,Budget,High
3,Audi,2013,0.0,Electric,Automatic,181601.0,Used,44402.61,A4,13,Mid,High
4,Tesla,2020,0.0,Electric,Automatic,68682.0,Used,86374.33,Model Y,6,Premium,Medium
5,Ford,2009,2.6,Diesel,Manual,223009.0,Used,73577.1,Mustang,17,Upper Mid,Very High
6,Audi,2019,2.4,Diesel,xAutomatic,246553.0,Used,88969.76,Q7,7,Premium,Very High
7,Audi,2020,0.0,Electric,Automatic,135486.0,Used,63498.75,Q5,6,Upper Mid,High
8,Tesla,2020,0.0,Electric,Automatic,83030.0,Used,17381.19,Model Y,6,Budget,Medium
9,Honda,2023,0.0,Electric,Automatic,120360.0,Like New,15905.62,Civic,3,Budget,High
10,Ford,2010,0.0,Electric,Automatic,135009.0,Like New,9560.22,Explorer,16,Budget,High
11,Tesla,2017,0.0,Electric,Automatic,298875.0,Used,58872.6,Model 3,9,Upper Mid,Very High
12,Ford,2017,0.0,Electric,Automatic,169737.0,Used,28074.19,Mustang,9,Mid,High
13,Ford,2006,4.7,Petrol,Automatic,114360.0,Used,74766.45,Fiesta,20,Upper Mid,High
14,Audi,2023,0.0,Electric,Automatic,263894.0,Used,70193.74,Q7,3,Upper Mid,Very High
15,BMW,2014,0.0,Electric,Automatic,65018.0,Used,35220.52,X3,12,Mid,Medium
16,Ford,2010,0.0,Electric,Automatic,240904.0,Used,21796.16,Mustang,16,Budget,Very High
17,Mercedes,2017,0.0,Electric,Automatic,136817.0,Used,14728.03,GLA,9,Budget,High
18,Audi,2022,4.4,Hybrid,Automatic,192803.0,Used,75044.95,A3,4,Premium,High
19,Honda,2011,0.0,Electric,Automatic,86984.0,Used,47791.89,Civic,15,Mid,Medium
20,BMW,2005,1.1,Petrol,Automatic,290595.0,Used,35735.34,X5,21,Mid,Very High
21,Mercedes,2019,3.9,Petrol,Automatic,192608.0,Used,86382.04,C-Class,7,Premium,High
22,Mercedes,2022,0.0,Electric,Automatic,12150.0,Used,61393.26,E-Class,4,Upper Mid,Low
23,Honda,2012,3.3,Diesel,Manual,275550.0,Used,54210.22,CR-V,14,Upper Mid,Very High
24,BMW,2019,5.8,Hybrid,Automatic,150853.0,Used,75621.02,X5,7,Premium,High
25,Audi,2015,0.0,Electric,Automatic,188489.0,Used,82480.4,Q5,11,Premium,High
26,Toyota,2017,0.0,Electric,Automatic,18325.0,Used,70176.95,Camry,9,Upper Mid,Low
27,BMW,2009,0.0,Electric,Automatic,199756.0,Used,46800.6,X3,17,Mid,High
28,Honda,2022,4.4,Diesel,Manual,204541.0,Used,41033.39,Accord,4,Mid,Very High
29,Mercedes,2007,5.9,Diesel,Manual,17669.0,Used,78308.17,GLC,19,Premium,Low
30,Audi,2017,1.5,Diesel,Automatic,207836.0,Used,54201.18,A3,9,Upper Mid,Very High
31,BMW,2020,1.0,Hybrid,Automatic,132915.0,Used,71916.68,X5,6,Upper Mid,High
32,Toyota,2000,3.2,Petrol,Automatic,196681.0,Used,89587.88,Corolla,26,Premium,High
33,Toyota,2022,1.5,Hybrid,Automatic,50812.0,Used,92009.61,Corolla,4,Premium,Medium
34,Ford,2007,4.7,Diesel,Manual,278203.0,Used,31382.99,Fiesta,19,Mid,Very High
35,Ford,2005,5.6,Petrol,Automatic,252862.0,Used,22849.55,Mustang,21,Budget,Very High
36,Tesla,2017,0.0,Electric,Automatic,171840.0,Used,29822.3,Model 3,9,Mid,High
37,Honda,2014,2.3,Diesel,Manual,25395.0,Used,76380.32,Fit,12,Premium,Low
38,BMW,2021,3.2,Diesel,Automatic,282346.0,Used,40155.51,5 Series,5,Mid,Very High
39,BMW,2014,4.6,Hybrid,Manual,229707.0,Used,21471.98,X3,12,Budget,Very High
40,Tesla,2015,0.0,Electric,Automatic,247181.0,Used,14346.62,Model X,11,Budget,Very High
41,Mercedes,2000,3.9,Petrol,Manual,204120.0,Used,36094.75,E-Class,26,Mid,Very High
42,Mercedes,2022,0.0,Electric,Automatic,224839.0,Used,17932.96,GLA,4,Budget,Very High
43,Tesla,2022,0.0,Electric,Automatic,219882.0,Used,19855.49,Model Y,4,Budget,Very High
46,BMW,2017,1.5,Hybrid,Automatic,87945.0,Like New,16167.56,5 Series,9,Budget,Medium
47,Tesla,2017,0.0,Electric,Automatic,242802.0,Used,85214.72,Model S,9,Premium,Very High
48,BMW,2016,5.4,Petrol,Automatic,250168.0,Used,85266.84,X5,10,Premium,Very High
49,Toyota,2007,4.7,Petrol,Automatic,2881.0,Used,36278.13,Prius,19,Mid,Low
50,Ford,2014,0.0,Electric,Automatic,111860.0,Used,13355.54,Explorer,12,Budget,High
51,Audi,2007,2.2,Diesel,Automatic,166415.0,Used,71972.18,Q5,19,Upper Mid,High
52,Ford,2016,2.1,Hybrid,Automatic,139728.0,Used,39212.51,Mustang,10,Mid,High
53,Tesla,2012,0.0,Electric,Automatic,267885.0,Used,9319.14,Model S,14,Budget,Very High
54,Audi,2007,0.0,Electric,Automatic,147733.0,Used,19993.56,A4,19,Budget,High
55,Toyota,2013,1.3,Diesel,Manual,290834.0,Used,18035.41,Camry,13,Budget,Very High
56,Tesla,2012,0.0,Electric,Automatic,294977.0,Used,60966.05,Model S,14,Upper Mid,Very High
58,BMW,2000,4.0,Diesel,Manual,71240.0,Used,80341.84,5 Series,26,Premium,Medium
59,Toyota,2018,4.4,Petrol,Automatic,106898.0,Used,56919.02,Prius,8,Upper Mid,High
60,BMW,2015,1.4,Petrol,Manual,209304.0,Used,45104.74,3 Series,11,Mid,Very High
61,Mercedes,2013,5.8,Petrol,Manual,80522.0,Used,63774.29,GLC,13,Upper Mid,Medium
62,Honda,2020,5.2,Diesel,Automatic,145512.0,Like New,47162.21,Accord,6,Mid,High
63,Honda,2015,5.0,Diesel,Automatic,119107.0,Used,28379.42,CR-V,11,Mid,High
64,Toyota,2004,0.0,Electric,Automatic,22462.0,Used,69523.76,Camry,22,Upper Mid,Low
65,Honda,2008,5.7,Hybrid,Automatic,279965.0,Used,87958.17,Fit,18,Premium,Very High
66,Audi,2001,3.7,Diesel,Manual,92889.0,Used,40422.68,A4,25,Mid,Medium
67,Honda,2017,2.0,Hybrid,Automatic,88952.0,Used,84946.15,CR-V,9,Premium,Medium
68,BMW,2005,4.1,Petrol,Manual,193596.0,Used,45952.79,X3,21,Mid,High
69,BMW,2008,4.7,Diesel,Manual,177505.0,Used,43126.91,5 Series,18,Mid,High
70,Tesla,2015,0.0,Electric,Automatic,221576.0,Used,7690.81,Model X,11,Budget,Very High
71,BMW,2008,0.0,Electric,Automatic,219393.0,Used,71051.5,5 Series,18,Upper Mid,Very High
72,Tesla,2015,0.0,Electric,Automatic,275455.0,Used,81712.74,Model S,11,Premium,Very High
73,BMW,2012,2.9,Petrol,Manual,254084.0,Used,68037.91,X5,14,Upper Mid,Very High
74,Audi,2008,5.6,Hybrid,Automatic,129466.0,Used,19379.29,A3,18,Budget,High
75,Tesla,2020,0.0,Electric,Automatic,30531.0,Used,14812.88,Model S,6,Budget,Low
76,Ford,2012,0.0,Electric,Automatic,14588.0,Used,59421.58,Fiesta,14,Upper Mid,Low
77,Mercedes,2008,2.3,Hybrid,Manual,143452.0,Used,43144.04,GLC,18,Mid,High
78,Toyota,2010,0.0,Electric,Automatic,173717.0,Used,45764.29,RAV4,16,Mid,High
79,BMW,2003,0.0,Electric,Automatic,161929.0,Used,96941.02,X5,23,Premium,High
80,Honda,2001,4.3,Petrol,Manual,21711.0,Like New,73772.65,Fit,25,Upper Mid,Low
81,BMW,2005,4.9,Hybrid,Automatic,136169.0,Used,44119.84,5 Series,21,Mid,High
82,Honda,2013,3.3,Hybrid,Manual,159465.0,Used,6814.43,CR-V,13,Budget,High
83,Mercedes,2003,0.0,Electric,Automatic,284220.0,Used,8239.09,GLC,23,Budget,Very High
84,Mercedes,2005,0.0,Electric,Automatic,160389.0,Used,70056.35,E-Class,21,Upper Mid,High
85,Mercedes,2018,4.5,Petrol,Automatic,58480.0,Like New,84585.18,GLC,8,Premium,Medium
86,Honda,2005,3.1,Diesel,Automatic,269188.0,Used,72231.75,Fit,21,Upper Mid,Very High
87,BMW,2001,3.2,Diesel,Automatic,250309.0,Used,43559.34,X3,25,Mid,Very High
88,Mercedes,2017,0.0,Electric,Automatic,55486.0,Like New,7957.9,C-Class,9,Budget,Medium
89,Audi,2012,5.7,Diesel,Manual,55162.0,Used,96903.15,A3,14,Premium,Medium
90,Tesla,2012,0.0,Electric,Automatic,210359.0,Used,98701.93,Model S,14,Premium,Very High
91,Honda,2022,5.1,Diesel,Automatic,29882.0,Used,57189.63,CR-V,4,Upper Mid,Low
92,Honda,2018,2.5,Diesel,Automatic,54078.0,Used,11713.74,CR-V,8,Budget,Medium
93,BMW,2012,0.0,Electric,Automatic,238680.0,Used,56392.39,3 Series,14,Upper Mid,Very High
95,Honda,2000,2.5,Diesel,Manual,174898.0,Used,69598.62,Fit,26,Upper Mid,High
96,Mercedes,2023,3.5,Petrol,Manual,98938.0,Used,73398.98,C-Class,3,Upper Mid,Medium
98,Mercedes,2006,3.5,Hybrid,Manual,32543.0,Used,15118.61,E-Class,20,Budget,Low
99,Tesla,2020,0.0,Electric,Automatic,124279.0,Like New,17098.13,Model 3,6,Budget,High
100,Tesla,2017,0.0,Electric,Automatic,29362.0,Like New,90915.8,Model 3,9,Premium,Low
101,Mercedes,2000,4.8,Petrol,Automatic,158818.0,Used,54955.72,GLA,26,Upper Mid,High
102,Tesla,2012,0.0,Electric,Automatic,242721.0,Used,80199.63,Model S,14,Premium,Very High
103,BMW,2006,4.3,Hybrid,Automatic,165229.0,Used,15952.67,X5,20,Budget,High
104,Toyota,2014,2.3,Diesel,Manual,142394.0,Used,93126.06,Camry,12,Premium,High
105,Mercedes,2020,1.8,Petrol,Manual,69812.0,Used,83008.5,GLC,6,Premium,Medium
106,Audi,2018,1.8,Hybrid,Manual,296161.0,Used,26352.59,A4,8,Mid,Very High
107,Audi,2000,0.0,Electric,Automatic,228208.0,Used,88047.31,Q7,26,Premium,Very High
108,Honda,2016,1.9,Diesel,Manual,279773.0,Used,30027.06,Accord,10,Mid,Very High
109,Tesla,2017,0.0,Electric,Automatic,128614.0,Used,24507.29,Model 3,9,Budget,High
110,Audi,2002,5.4,Petrol,Automatic,96950.0,Used,30103.17,Q5,24,Mid,Medium
111,Honda,2011,5.1,Hybrid,Automatic,174942.0,Used,91445.73,Accord,15,Premium,High
113,BMW,2010,1.6,Hybrid,Automatic,245602.0,Used,36254.6,X5,16,Mid,Very High
114,BMW,2002,2.4,Hybrid,Manual,10588.0,Like New,72016.25,3 Series,24,Upper Mid,Low
115,BMW,2007,2.5,Diesel,Manual,168217.0,Used,69195.8,5 Series,19,Upper Mid,High
116,Audi,2013,2.2,Diesel,Automatic,272743.0,Used,81623.45,A3,13,Premium,Very High
117,Toyota,2013,0.0,Electric,Automatic,208502.0,Used,33168.4,Camry,13,Mid,Very High
118,Audi,2009,3.7,Diesel,Automatic,134011.0,Used,53463.16,Q5,17,Upper Mid,High
119,Tesla,2017,0.0,Electric,Automatic,252856.0,Used,68429.03,Model 3,9,Upper Mid,Very High
120,Audi,2013,2.8,Petrol,Automatic,284293.0,Used,7494.4,Q5,13,Budget,Very High
121,Toyota,2008,5.1,Hybrid,Automatic,197639.0,Used,40790.18,Camry,18,Mid,High
122,Toyota,2002,4.9,Petrol,Automatic,141280.0,Used,71109.39,Prius,24,Upper Mid,High
123,Tesla,2020,0.0,Electric,Automatic,197170.0,Used,28996.53,Model S,6,Mid,High
124,Toyota,2007,5.6,Diesel,Manual,180564.0,Used,95981.89,Corolla,19,Premium,High
125,Toyota,2015,5.8,Diesel,Manual,20951.0,Used,7865.33,Corolla,11,Budget,Low
126,BMW,2001,2.6,Diesel,Manual,179992.0,Used,96018.28,X3,25,Premium,High
127,Tesla,2015,0.0,Electric,Automatic,46766.0,Used,25592.57,Model X,11,Mid,Low
128,Ford,2020,3.5,Diesel,Automatic,159423.0,Used,9638.09,Mustang,6,Budget,High
129,Ford,2011,5.7,Hybrid,Manual,87122.0,Used,32785.03,Explorer,15,Mid,Medium
130,Toyota,2004,5.4,Hybrid,Automatic,271452.0,Used,79696.82,Corolla,22,Premium,Very High
131,Ford,2001,1.5,Hybrid,Manual,83211.0,Used,76481.99,Explorer,25,Premium,Medium
132,Ford,2015,3.0,Petrol,Automatic,126534.0,Used,24839.84,Focus,11,Budget,High
133,Toyota,2004,3.8,Diesel,Automatic,8720.0,Used,23695.06,RAV4,22,Budget,Low
134,Ford,2014,3.5,Petrol,Manual,79993.0,Used,66045.09,Focus,12,Upper Mid,Medium
136,Honda,2003,0.0,Electric,Automatic,25905.0,Used,80267.55,Accord,23,Premium,Low
137,Tesla,2017,0.0,Electric,Automatic,204580.0,Used,7292.61,Model 3,9,Budget,Very High
138,Honda,2010,5.2,Petrol,Automatic,50385.0,Like New,62989.13,Accord,16,Upper Mid,Medium
139,Toyota,2015,5.3,Hybrid,Manual,30653.0,Used,74413.84,Corolla,11,Upper Mid,Low
140,BMW,2022,4.7,Petrol,Manual,91865.0,Used,99371.68,3 Series,4,Premium,Medium
141,Tesla,2017,0.0,Electric,Automatic,125813.0,Used,69484.26,Model 3,9,Upper Mid,High
142,Toyota,2013,4.1,Diesel,Manual,145871.0,Used,27025.29,Prius,13,Mid,High
143,BMW,2017,1.8,Hybrid,Automatic,191175.0,Used,15277.69,5 Series,9,Budget,High
144,Honda,2011,4.4,Hybrid,Manual,248535.0,Used,65887.09,Fit,15,Upper Mid,Very High
145,Toyota,2010,1.9,Diesel,Manual,15052.0,Used,54702.39,Camry,16,Upper Mid,Low
146,Tesla,2020,0.0,Electric,Automatic,137116.0,Used,90418.8,Model Y,6,Premium,High
147,Tesla,2020,0.0,Electric,Automatic,150943.0,Used,74027.76,Model 3,6,Upper Mid,High
148,Mercedes,2022,1.6,Petrol,Manual,220375.0,Used,53425.53,E-Class,4,Upper Mid,Very High
149,Audi,2010,1.8,Petrol,Automatic,21381.0,Used,43341.0,Q7,16,Mid,Low
150,Ford,2022,1.0,Petrol,Automatic,148346.0,Used,43415.6,Focus,4,Mid,High
151,BMW,2015,4.6,Petrol,Manual,243234.0,Used,26498.91,3 Series,11,Mid,Very High
152,Mercedes,2014,4.7,Petrol,Automatic,256017.0,Used,6645.97,GLA,12,Budget,Very High
153,Ford,2020,0.0,Electric,Automatic,235020.0,Used,59616.51,Mustang,6,Upper Mid,Very High
154,Ford,2014,0.0,Electric,Automatic,49892.0,Used,25179.4,Mustang,12,Mid,Low
155,Toyota,2003,1.4,Hybrid,Automatic,181593.0,Used,24791.06,Camry,23,Budget,High
156,Ford,2010,1.1,Petrol,Manual,214992.0,Used,16911.22,Mustang,16,Budget,Very High
157,Audi,2018,1.8,Diesel,Automatic,280064.0,Used,23011.57,A3,8,Budget,Very High
158,Tesla,2017,0.0,Electric,Automatic,278846.0,Used,8019.97,Model 3,9,Budget,Very High
159,Mercedes,2003,0.0,Electric,Automatic,256216.0,Used,69051.99,C-Class,23,Upper Mid,Very High
160,Ford,2020,2.8,Petrol,Automatic,264038.0,Used,43132.73,Fiesta,6,Mid,Very High
161,Toyota,2012,0.0,Electric,Automatic,293129.0,Used,58344.84,Camry,14,Upper Mid,Very High
162,Audi,2021,2.1,Hybrid,Automatic,159359.0,Used,65510.97,A4,5,Upper Mid,High
163,Honda,2018,3.6,Hybrid,Automatic,258771.0,Used,97386.03,Civic,8,Premium,Very High
164,Tesla,2020,0.0,Electric,Automatic,125702.0,Used,11485.26,Model Y,6,Budget,High
165,Tesla,2017,0.0,Electric,Automatic,73527.0,Used,44702.18,Model 3,9,Mid,Medium
166,Mercedes,2003,1.3,Petrol,Manual,146511.0,Used,28360.3,E-Class,23,Mid,High
167,Tesla,2020,0.0,Electric,Automatic,225692.0,Used,50287.63,Model Y,6,Upper Mid,Very High
168,Ford,2020,2.2,Diesel,Automatic,158731.0,Used,92444.87,Explorer,6,Premium,High
170,Tesla,2020,0.0,Electric,Automatic,235311.0,Used,67885.21,Model Y,6,Upper Mid,Very High
172,Honda,2002,3.8,Petrol,Manual,199378.0,Used,68755.69,CR-V,24,Upper Mid,High
173,Honda,2007,0.0,Electric,Automatic,56697.0,Like New,8075.66,CR-V,19,Budget,Medium
175,Audi,2009,3.7,Diesel,Manual,278795.0,Used,57608.77,A3,17,Upper Mid,Very High
176,Ford,2003,4.5,Diesel,Automatic,180116.0,Used,37930.84,Fiesta,23,Mid,High
177,Tesla,2017,0.0,Electric,Automatic,14633.0,Like New,24143.84,Model 3,9,Budget,Low
178,Tesla,2012,0.0,Electric,Automatic,79164.0,Used,81717.78,Model S,14,Premium,Medium
180,BMW,2012,0.0,Electric,Automatic,123425.0,Used,11618.92,X5,14,Budget,High
181,Audi,2003,5.4,Petrol,Manual,250220.0,Used,46849.57,Q7,23,Mid,Very High
182,BMW,2010,0.0,Electric,Automatic,295182.0,Used,28992.68,5 Series,16,Mid,Very High
183,Mercedes,2006,3.7,Diesel,Automatic,180160.0,Used,75817.98,GLA,20,Premium,High
